id,name,width,height
00b ,Shotgun Shells,2,2
01b ,Machine Gun Cip,1,2
01d ,Andariel Doll,2,2
05b ,Energy Pack,2,1
07b ,Handgun Bullets,1,1
1920,Greenskin Soul (Nor),1,1
1921,Goblin Soul (Nor),1,1
505 ,Zombie Soul (Nor),1,1
635 ,Flayer Soul (Nor),1,1
644 ,Dark Spearwoman Soul (Nor),1,1
652 ,Burning Dead Archer Soul (Nor),1,1
amu ,Amulet,1,1
c10 ,Inf Mana,1,1
cb1 ,Chill Ball,1,1
cm1 ,Small Charm,1,1
cm2 ,Large Charm,1,2
cm3 ,Grand Charm,1,3
egb ,Energy Ball,1,1
ep2 ,Bag of Experience (2000),1,1
ep3 ,Bag of Experience (4000),1,1
ep4 ,Bag of Experience (8000),1,1
ep5 ,Bag of Experience (16000),1,1
ep6 ,Bag of Experience (32000),1,1
ept ,Bag of Experience (1000),1,1
fuk ,Burning Orb,1,1
g01 ,Golem in a Bottle,1,1
gcb ,Chipped Sapphire,1,1
gcg ,Chipped Emerald,1,1
gcr ,Chipped Ruby,1,1
gcv ,Chipped Amethyst,1,1
gcw ,Chipped Diamond,1,1
gcy ,Chipped Topaz,1,1
gfb ,Flawed Sapphire,1,1
gfg ,Flawed Emerald,1,1
gfr ,Flawed Ruby,1,1
gfv ,Flawed Amethyst,1,1
gfw ,Flawed Diamond,1,1
gfy ,Flawed Topaz,1,1
ggr ,Golem Gear,2,2
gld1,Gold Bar 9k,1,1
gld2,Gold Bar 10k,1,1
gld3,Gold Bar 14k,1,1
gld4,Gold Bar 16k,1,1
gsb ,Sapphire,1,1
gsg ,Emerald,1,1
gsg ,Emerald,1,1
gsr ,Ruby,1,1
gsv ,Amethyst,1,1
gsw ,Diamond,1,1
gsy ,Topaz,1,1
jew ,Jewel,1,1
key ,Key,1,1
lbl ,Sash,2,1
lgl ,Leather Gloves,2,2
m03 ,Blacksmith's Hammer,1,1
m04 ,Anvil,1,1
mbag,Money Bag,1,1
mgat,Moster Gate,1,1
opl ,Fulminating Potion,1,1
r01 ,El rune,1,1
r02 ,Eld rune,1,1
r03 ,Tir rune,1,1
r04 ,Nef rune,1,1
r05 ,Eth rune,1,1
r06 ,Ith rune,1,1
r07 ,Tal rune,1,1
r08 ,Ral rune,1,1
rin ,Ring,1,1
rvl ,Full Rejuvenation Potion,1,1
rvs ,Rejuvenation Potion,1,1
rvsl,Lesser Rejuvenation Potion,1,1
scm ,Scimitar,1,3
skc ,Chipped Skull,1,1
skf ,Flawed Skull,1,1
skl ,Flawless Skull,1,1
spg ,Shining Poison,1,1
spr ,Spear,2,4
spt ,Spetum,2,4
sst ,Short Staff,1,3
tet ,Teeth,1,1
trpg,Training Page,1,1
